X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	Y
1.94	4.5	154.45	207.33	264.9	277.64	135.79	30.58	110.7	80.83	51.83	14.09	2384
0.33	6.49	133.16	127.29	120.2	114.88	81.21	14.05	35.7	16	27.1	2.93	202
6.16	17.18	313.4	386.96	203	204.22	79.43	32.42	79.38	14.54	128.13	42.15	100
5.35	9.3	123.8	122.94	101.6	96.84	34.67	13.99	37.28	5.93	63.91	3.12	38
3.78	4.26	106.05	95.49	27.58	22.75	34.24	14.06	28.2	4.69	35.72	9.51	126
11.2	8.17	271.96	533.15	164.4	123.78	187.7	58.63	90.52	31.71	84.05	11.61	262
2.84	3.61	109.37	130.8	52.49	62.26	38.15	21.82	44.53	25.78	48.49	14.22	38
8.64	11.41	160.06	246.57	109.2	115.32	68.71	34.55	58.08	13.52	72.05	21.17	121
3.64	6.67	244.42	412.04	459.6	512.21	160.45	43.51	89.93	48.55	48.63	7.05	1218
30.9	19.8	435.77	724.85	376	381.81	210.39	71.82	150.6	23.74	188.28	19.65	529
6.26	6.3	321.75	665.8	157.9	172.19	147.16	52.44	78.16	10.9	93.05	9.45	361
4.13	8.87	152.29	258.6	83.42	85.1	75.74	26.75	63.47	5.89	47.02	2.66	51
5.85	5.61	347.25	332.59	157.3	172.48	115.16	33.8	77.27	8.69	79.01	8.24	651
6.7	6.8	145.4	143.54	97.4	100.5	43.28	17.71	51.03	5.41	62.03	18.25	43
10.8	11.73	442.2	665.33	411.9	429.88	115.07	87.45	145.3	21.39	187.77	110.2	220
4.16	22.51	299.63	316.81	132.6	139.76	84.79	53.93	84.23	12.36	116.89	10.38	101
4.64	7.65	195.56	373.04	161.8	180.14	101.58	58	80.53	21.61	100.69	5.16	88
7.08	10.99	216.49	291.73	119.2	125.62	47.05	48.19	97.97	12.07	139.39	16.67	156
16.3	24.1	688.83	827.16	271.1	268.2	331.55	71.44	146.2	23.38	145.77	16.52	2942
4.01	4	125.04	243.5	52.06	31.22	47.25	25.59	55.27	4.49	60.13	13.64	156
0.8	2.07	35.03	60.9	29.2	30.14	20.22	4.22	12.19	1.3	9.29	0.27	96
4.42	2.11	78.93	138.43	68.31	73.84	79.98	18.42	43.3	20.01	48.48	0.72	88
11.2	9.42	196.27	328.46	204.5	144.45	101.21	43.01	74.22	15.85	90.6	11.05	84
2.01	2.03	25.04	69.97	40.86	36.45	27.02	13.8	26.83	2.86	25.63	6.76	48
6.43	6.08	88.9	170.15	88.86	89.84	33.66	29.2	51.25	8.6	40.47	4.81	261
1.91	0.98	5.08	11.13	0.67	1.69	1.94	2.95	5.02	0.89	7.59	0.17	33
5.49	9.9	115.42	94.63	76.57	53.14	47.88	22.08	56.97	14.02	48.64	38.17	247
3.97	7.8	39.32	99.23	41.64	50.55	11.41	8.81	15.98	6.33	16.46	7.02	30
1.31	3.08	13.67	18.79	18.37	18.57	3.15	3.14	8.66	1.26	14.3	1.2	3
1.1	2.1	16.11	19.64	17.85	16.52	4.16	3.03	6.76	1.06	7.52	3.18	1
4.58	10.35	92.03	103.34	49.19	50.2	28.14	11.82	37.95	4.52	39.49	3.53	82
