id  x3 x1   x2 y total
1   0 18  850 0     1
2   0 21 1200 0     1
3   0 23  850 1     1
4   0 23  950 1     1
5   0 28 1200 1     1
6   0 31  850 0     1
7   0 36 1500 1     1
8   0 42 1000 1     1
9   0 46  950 1     1
10  0 48 1200 0     1
11  0 55 1800 1     1
12  0 56 2100 1     1
13  0 58 1800 1     1
14  1 18  850 0     1
15  1 20 1000 0     1
16  1 25 1200 0     1
17  1 27 1300 0     1
18  1 28 1500 0     1
19  1 30  950 1     1
20  1 32 1000 0     1
21  1 33 1800 0     1
22  1 33 1000 0     1
23  1 38 1200 0     1
24  1 41 1500 0     1
25  1 45 1800 1     1
26  1 48 1000 0     1
27  1 52 1500 1     1
28  1 56 1800 1     1
