year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,Y
1985,172.27,18837,272870,2519,174.05,1159,102.2,4029.56,2318.56,429.16,123.88,53.47644663,1067,185.66,210.81,237.6,580,904,37.4,58.25
1986,203.49,20564,293968,4175,192.04,1346,127.39,4070.07,2386.42,502.47,136.29,58.59500195,1237,248.68,288.97,270.5,702,1104,50.96,68.61
1987,242.58,24878,330062,4289,227.18,1493,156.2,4121.19,2444.73,606.99,159.41,59.01517036,1478,306.44,365.87,295.2,828,1228,51.24,76.36
1988,325.88,31300,392672,5624,280.94,1841,188.95,4169.85,2502.73,770.25,195.68,62.12929259,1853,354.26,433.41,314.6,1070,1589,63.14,85.55
1989,346.01,37020,294062,3568,304.5,2031,179.49,4208.88,2522.86,849.44,210.95,65.30485437,2023,441.13,505.48,293.7,1186,1797,74.77,98.21
1990,353.75,45396,496218,5440,331.56,2220,186.96,4234.91,2554.46,904.69,225.04,66.5074232,2138,606.01,618.14,297.5,1227,1932,80.23,101.59
1991,404,114607,554091,7489,363.22,2422,239.75,4261.37,2579.36,1089.33,245.22,70.83442958,2558,789.64,749.93,317.7,1353,2143,88.43,108.94
1992,493.87,165815,685367,10210,396.93,2884,361.18,4285.91,2600.38,1375.7,262.67,70.33653184,3212,1036.72,972.09,335.6,1528,2619,95.31,118.36
1993,772.11,275148,728408,11679,490.13,3932,683.83,4313.3,2615.89,1925.91,315.96,63.61945608,4469,1316.53,1247.76,351.2,1850,3626,125.04,166.64
1994,1133.18,429179,612689,18055,690.2,5597,1006.39,4341.2,2640.51,2689.28,438.65,60.97545275,6201,1910.98,1627.87,389,2536,5066,153.03,209.39
1995,1472.66,630167,672717,23591,868.76,6619,1357.9,4369.63,2621.47,3557.55,549.96,62.17619654,8149,2623.6,2103.65,423.2,3217,6221,180.29,248.5
1996,1776.67,865336,729012,29184,932.85,7413,1617.53,4400.09,2625.06,4188.53,594.93,60.99132235,9552,3400.19,2584.09,473.5,3906,6956,213.71,291.75
1997,1951.96,1129657,811468,34495,1004.88,8386,1694.57,4422.28,2619.66,4686.11,618.9,59.21309653,10624,4297.07,3273.73,496.8,4233,7359,240.16,340.52
1998,2120.78,1577157,819615,36122,1003.66,9259,1847.93,4446.86,2612.54,5052.62,609.3,60.58606258,11394,5264.21,3897.12,515.1,4397,7837,286.81,401.8
1999,2305.86,2190000,947788,41009,1005.22,10632,1886.04,4467.46,2625.17,5443.92,606.31,62.62295192,12214,6273.15,4650.5,534.7,4539,8428,344.04,477.4
2000,2553.59,3240800,1125898,51397,1057.07,12414,2267.22,4501.22,2726.09,6141.03,630.98,68.30078835,13415,7299.57,5423.52,587.5,5099,9279,431.3,658.42
2001,2839.59,2799000,1469502,70693,1053.57,15770,2776.69,4519.84,2796.65,6898.34,659.78,74.60871902,14664,8823.12,6482.22,641.2,5551,10465,597.3,917.76
2002,3166.15,3634295,2041761,92763,1101.86,18227,3596.31,4535.98,2858.56,8003.67,685.2,78.9146995,16841,11242.84,8612.81,711.6,6098,11716,749.9,1166.58
2003,3511.26,5047179,1817986,87249,1184.04,20853,4180.38,4551.58,2918.74,9705.02,717.85,76.34418941,20149,14758.15,12014.28,810.6,7033,13180,896.77,1468.89
2004,4055.5,6771657,2766680,130047,1332.27,23101,5384.38,4577.22,2991.95,11648.7,814.1,73.34306074,23817,17236.62,14350.75,912.3,8174,14546,1062.94,1805.16
2005,4645.85,8303851,3480089,171626,1428.28,25572,6138.39,4602.11,3100.76,13417.68,892.83,74.81210091,27062,20494.16,16557.67,1036.4,9558,16294,1265.53,2115.36
2006,5357.97,9720807,4272786,213490,1422.6,27567,6964.28,4629.43,3172.38,15718.47,925.1,73.8042956,31241,24413.94,20153.94,1174.2,11099,18265,1471.86,2567.66
2007,6271.32,13270593,5111789,270790,1597.15,30854,7704.9,4659.34,3405.01,18753.73,986.02,74.97806337,36676,28504.46,24144.42,1310.4,12730,20574,1806.79,3239.89
2008,7533.3,15454226,5396682,302408,1780.01,34146,8550.71,4687.85,3486.53,21462.69,1095.96,76.06977182,41405,34806.43,28958.36,1429.7,14264,22727,2208.58,3730.06
2009,8666.19,16663726,5706385,322358,1873.4,37395,9906.46,4716.18,3591.98,22998.24,1163.08,84.10518914,43857,44336.49,37997.98,1606.9,15867,24611,2653.35,4122.04
2010,10387.02,19719626,6847102,393020,2172.86,41505,11451.98,4747.95,3636.02,27747.65,1360.56,85.99020537,51758,53441.45,45288.07,1775.7,18274,27359,3207.88,4895.41
2011,12532.8,8979698,7736908,454173,2534.9,46660,14077.25,4781.31,3674.11,32363.38,1583.04,88.4748706,59331,59727.91,51276.64,1965.7,21346,30971,3842.59,5925
2012,14199.59,10240156,8659290,515174,2658.66,50813,17095.96,4799.34,3691.24,34739.13,1667.88,94.53573481,63508,64886.28,56982.64,2084,22845,34550,4161.88,6408.49
2013,15970.84,11786022,8662817,539293,2837.39,56571,20194.07,4826.89,3708.73,37756.58,1760.34,99.45255636,68805,71986.58,62597.56,2237.7,24771,37080,4730.47,6908.41
2014,17835.34,16844582,9310301,575348,2844.59,61572,23554.76,4859.18,3714.15,40173.03,1777.18,100.2384869,73002,77145.38,68566.32,2401.2,26885,40393,5159.57,7521.7
2015,19784.74,23921105,10120384,678847,2933.44,66668,26664.72,4873.34,3733.65,42886.49,1832.91,108.2704307,77644,87393.3,74070.2,2545.3,28712,43714,6645.98,8549.47
